Grid,Difficulty,Story,Clues,Table,Options,Puzzle
3x4,Moderate,"The FPV Drone Racing League held its championship at the Quarryfield Complex, where top pilots sent their quadcopters screaming through neon-lit gates at breakneck speed.  Determine each drone's top speed, color, the course it raced on, and its pilot's callsign. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The orange drone, the drone with a top speed of 95 mph and the quadcopter with a top speed of 85 mph were all different drones.
2.Of the drone with a top speed of 85 mph and the drone that raced on Urban Sprint, one is green and the other is red.
3.The quadcopter with a top speed of 95 mph was either the orange drone or the quadcopter that raced on Forest Trail.
4.The green quadcopter topped out at 80 mph.
5.The orange quadcopter flew 5 mph faster than the drone that raced on Mountain Pass.","+----------+----------+-----------+
| Speeds   | Colors   | Courses   |
+==========+==========+===========+
| 80 mph   |          |           |
+----------+----------+-----------+
| 85 mph   |          |           |
+----------+----------+-----------+
| 90 mph   |          |           |
+----------+----------+-----------+
| 95 mph   |          |           |
+----------+----------+-----------+","Colors: green, orange, red, yellow
Courses: Desert Loop, Forest Trail, Mountain Pass, Urban Sprint","
Story:
The FPV Drone Racing League held its championship at the Quarryfield Complex, where top pilots sent their quadcopters screaming through neon-lit gates at breakneck speed.  Determine each drone's top speed, color, the course it raced on, and its pilot's callsign. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The orange drone, the drone with a top speed of 95 mph and the quadcopter with a top speed of 85 mph were all different drones.
2.Of the drone with a top speed of 85 mph and the drone that raced on Urban Sprint, one is green and the other is red.
3.The quadcopter with a top speed of 95 mph was either the orange drone or the quadcopter that raced on Forest Trail.
4.The green quadcopter topped out at 80 mph.
5.The orange quadcopter flew 5 mph faster than the drone that raced on Mountain Pass.

Solve the grid puzzle by filling the table:
+----------+----------+-----------+
| Speeds   | Colors   | Courses   |
+==========+==========+===========+
| 80 mph   |          |           |
+----------+----------+-----------+
| 85 mph   |          |           |
+----------+----------+-----------+
| 90 mph   |          |           |
+----------+----------+-----------+
| 95 mph   |          |           |
+----------+----------+-----------+

Use the clues to fill the table with the following categories:
Colors: green, orange, red, yellow
Courses: Desert Loop, Forest Trail, Mountain Pass, Urban Sprint"
3x4,Moderate,"The Cybernetic Racing League hosted its annual championship at the Digital Nexus Arena, where elite drivers competed with their high-speed bots through futuristic obstacles. Determine each bot's maximum speed, color, the track it raced on, and its driver's nickname. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The blue bot, the bot with a maximum speed of 105 km/h and the machine with a top speed of 95 km/h were all distinct bots.
2.Of the bot with a maximum speed of 95 km/h and the one that raced on Neon Circuit, one is black and the other is silver.
3.The machine with a maximum speed of 105 km/h was either the blue bot or the one that raced on Cyber Track.
4.The black bot reached a top speed of 85 km/h.
5.The blue bot traveled 10 km/h faster than the machine that raced on Digital Loop.",,,"Story:
The Cybernetic Racing League hosted its annual championship at the Digital Nexus Arena, where elite drivers competed with their high-speed bots through futuristic obstacles. Determine each bot's maximum speed, color, the track it raced on, and its driver's nickname. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The blue bot, the bot with a maximum speed of 105 km/h and the machine with a top speed of 95 km/h were all distinct bots.
2.Of the bot with a maximum speed of 95 km/h and the one that raced on Neon Circuit, one is black and the other is silver.
3.The machine with a maximum speed of 105 km/h was either the blue bot or the one that raced on Cyber Track.
4.The black bot reached a top speed of 85 km/h.
5.The blue bot traveled 10 km/h faster than the machine that raced on Digital Loop.

Solve the grid puzzle by filling the table:
+----------+----------+-----------+
| Speeds   | Colors   | Tracks     |
+==========+==========+===========+
| 85 km/h  |          |           |
+----------+----------+-----------+
| 95 km/h  |          |           |
+----------++/----------+-----------+
| 105 km/h |          |           |
+----------+----------+-----------+

Use the clues to fill the table with the following categories:
Colors: black, blue, silver, white
Tracks: Cyber Track, Digital Loop, Neon Circuit, Quantum Maze"
3x4,Moderate,"The Northeastern Division pairs figure skating finals were held this afternoon in Endicott City.  Match each of the men to their female skating partner, and determine the song they skated to and their final total score (in points). Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.Wilma's pair scored somewhat higher than Yuri's pair.
2.Wesley's pair scored 3 tenths of a point higher than Ruben's pair.
3.Rachel's pair scored 3 tenths of a point higher than Wilma's pair.
4.Of the team that scored 26.9 points and the team that scored 26.6 points, one included Wesley and the other included Kelly.","+----------+---------+-------+
|   Points | Women   | Men   |
+==========+=========+=======+
|     26.3 |         |       |
+----------+---------+-------+
|     26.6 |         |       |
+----------+---------+-------+
|     26.9 |         |       |
+----------+---------+-------+
|     27.2 |         |       |
+----------+---------+-------+","Women: Bonita, Kelly, Rachel, Wilma
Men: Nabil, Ruben, Wesley, Yuri","
Story:
The Northeastern Division pairs figure skating finals were held this afternoon in Endicott City.  Match each of the men to their female skating partner, and determine the song they skated to and their final total score (in points). Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.Wilma's pair scored somewhat higher than Yuri's pair.
2.Wesley's pair scored 3 tenths of a point higher than Ruben's pair.
3.Rachel's pair scored 3 tenths of a point higher than Wilma's pair.
4.Of the team that scored 26.9 points and the team that scored 26.6 points, one included Wesley and the other included Kelly.

Solve the grid puzzle by filling the table:
+----------+---------+-------+
|   Points | Women   | Men   |
+==========+=========+=======+
|     26.3 |         |       |
+----------+---------+-------+
|     26.6 |         |       |
+----------+---------+-------+
|     26.9 |         |       |
+----------+---------+-------+
|     27.2 |         |       |
+----------+---------+-------+

Use the clues to fill the table with the following categories:
Women: Bonita, Kelly, Rachel, Wilma
Men: Nabil, Ruben, Wesley, Yuri"
3x4,Moderate,"The Southeastern Regional Dance Championships took place yesterday in Riverton Valley. Match each of the male dancers to their female dance partner, determine the song they performed to, and calculate their final total score (in points). Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.Adam's duo scored slightly less than Claire's duo.
2.Ethan's duo scored 4 tenths of a point higher than Jordan's duo.
3.Samantha's duo scored 4 tenths of a point higher than Adam's duo.
4.Of the team that scored 25.8 points and the team that scored 25.5 points, one included Ethan and the other included Morgan.",,,"Story:
The Southeastern Regional Dance Championships took place yesterday in Riverton Valley. Match each of the male dancers to their female dance partner, determine the song they performed to, and calculate their final total score (in points). Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.Adam's duo scored slightly less than Claire's duo.
2.Ethan's duo scored 4 tenths of a point higher than Jordan's duo.
3.Samantha's duo scored 4 tenths of a point higher than Adam's duo.
4.Of the team that scored 25.8 points and the team that scored 25.5 points, one included Ethan and the other included Morgan.

Solve the grid puzzle by filling the table:
+----------+---------+-------+
|   Points | Women   | Men   |
+==========+=========+=======+
|     25.3 |         |       |
+----------+---------+-------+
|     25.5 |         |       |
+----------+---------+-------+
|     25.8 |         |       |
+----------+---------+-------+
|     26.1 |         |       |
+----------+---------+-------+

Use the clues to fill the table with the following categories:
Women: Claire, Morgan, Samantha, Adam
Men: Jordan, Ethan, Jordan, Ryan"
3x4,Moderate,"Alexandra decided to cook a series of low-calorie meals for her family this week.  Using only the clues below, match each recipe to the night it was served, the number of calories it contained and the total amount of protein (in grams) in each serving. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The bulgur salad contains somewhat fewer calories than the meal served on May 11th.
2.The meal served on May 14th contains 20 fewer calories than the citrus halibut.
3.The recipe served on May 15th contains somewhat fewer calories than the garlic tilapia.
4.The meal served on May 17th contains 20 more calories than the recipe served on May 14th.
5.The recipe with 440 calories was either the meal served on May 11th or the garlic tilapia.","+------------+-----------+----------+
|   Calories | Recipes   | Nights   |
+============+===========+==========+
|        380 |           |          |
+------------+-----------+----------+
|        400 |           |          |
+------------+-----------+----------+
|        420 |           |          |
+------------+-----------+----------+
|        440 |           |          |
+------------+-----------+----------+","Recipes: asian steak, bulgur salad, citrus halibut, garlic tilapia
Nights: May 11th, May 14th, May 15th, May 17th","
Story:
Alexandra decided to cook a series of low-calorie meals for her family this week.  Using only the clues below, match each recipe to the night it was served, the number of calories it contained and the total amount of protein (in grams) in each serving. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The bulgur salad contains somewhat fewer calories than the meal served on May 11th.
2.The meal served on May 14th contains 20 fewer calories than the citrus halibut.
3.The recipe served on May 15th contains somewhat fewer calories than the garlic tilapia.
4.The meal served on May 17th contains 20 more calories than the recipe served on May 14th.
5.The recipe with 440 calories was either the meal served on May 11th or the garlic tilapia.

Solve the grid puzzle by filling the table:
+------------+-----------+----------+
|   Calories | Recipes   | Nights   |
+============+===========+==========+
|        380 |           |          |
+------------+-----------+----------+
|        400 |           |          |
+------------+-----------+----------+
|        420 |           |          |
+------------+-----------+----------+
|        440 |           |          |
+------------+-----------+----------+

Use the clues to fill the table with the following categories:
Recipes: asian steak, bulgur salad, citrus halibut, garlic tilapia
Nights: May 11th, May 14th, May 15th, May 17th"
3x4,Moderate,"Emma planned a week of healthy snack sessions for her friends. Using only the clues below, match each snack to the day it was given out, the number of calories it contained and the total amount of carbohydrates (in grams) in each serving. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The almond energy bar contains somewhat fewer calories than the snack given out on Wednesday.
2.The snack given out on Thursday contains 15 fewer calories than the oatmeal cookie.
3.The recipe given out on Friday contains somewhat fewer calories than the granola mix.
4.The snack given out on Saturday contains 15 more calories than the snack given out on Thursday.
5.The snack with 360 calories was either the one given out on Wednesday or the granola mix.",,,"Story:
Emma planned a week of healthy snack sessions for her friends. Using only the clues below, match each snack to the day it was given out, the number of calories it contained and the total amount of carbohydrates (in grams) in each serving. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The almond energy bar contains somewhat fewer calories than the snack given out on Wednesday.
2.The snack given out on Thursday contains 15 fewer calories than the oatmeal cookie.
3.The recipe given out on Friday contains somewhat fewer calories than the granola mix.
4.The snack given out on Saturday contains 15 more calories than the snack given out on Thursday.
5.The snack with 360 calories was either the one given out on Wednesday or the granola mix.

Solve the grid puzzle by filling the table:
+------------+-----------+----------+
|   Calories | Snacks    | Days     |
+============+===========+==========+
|        345 |           |          |
+------------+-----------+----------+
|        360 |           |          |
+------------+-----------+----------+
|        375 |           |          |
+------------+-----------+----------+
|        390 |           |          |
+------------+-----------+----------+

Use the clues to fill the table with the following categories:
Snacks: almond energy bar, oatmeal cookie, granola mix, trail mix
Days: Wednesday, Thursday, Friday, Saturday"
3x4,Moderate,"The World Semi-Finals of Free Diving took place last week at Blue Chasm in the Bahamas.  Using only the clues that follow, match each contestant to their maximum depth, the order in which they dived, and their home country. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.Hill Harvey dove third.
2.Hill Harvey reached a maximum depth that was 3 meters shallower than the diver who went sixth.
3.Chevy Chen went to a maximum depth of 101 meters.
4.The diver who went fourth reached a maximum depth that was 3 meters shallower than Daniel Day.","+--------------+----------+----------+
| Max Depths   | Divers   | Orders   |
+==============+==========+==========+
| 98 meters    |          |          |
+--------------+----------+----------+
| 101 meters   |          |          |
+--------------+----------+----------+
| 104 meters   |          |          |
+--------------+----------+----------+
| 107 meters   |          |          |
+--------------+----------+----------+","Divers: Chevy Chen, Daniel Day, Gumbo Giles, Hill Harvey
Orders: first, third, fourth, sixth","
Story:
The World Semi-Finals of Free Diving took place last week at Blue Chasm in the Bahamas.  Using only the clues that follow, match each contestant to their maximum depth, the order in which they dived, and their home country. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.Hill Harvey dove third.
2.Hill Harvey reached a maximum depth that was 3 meters shallower than the diver who went sixth.
3.Chevy Chen went to a maximum depth of 101 meters.
4.The diver who went fourth reached a maximum depth that was 3 meters shallower than Daniel Day.

Solve the grid puzzle by filling the table:
+--------------+----------+----------+
| Max Depths   | Divers   | Orders   |
+==============+==========+==========+
| 98 meters    |          |          |
+--------------+----------+----------+
| 101 meters   |          |          |
+--------------+----------+----------+
| 104 meters   |          |          |
+--------------+----------+----------+
| 107 meters   |          |          |
+--------------+----------+----------+

Use the clues to fill the table with the following categories:
Divers: Chevy Chen, Daniel Day, Gumbo Giles, Hill Harvey
Orders: first, third, fourth, sixth"
3x4,Moderate,"At the recent International Mountain Climbing Championships held in the Swiss Alps, four climbers reached specific altitudes during their ascents. Using the clues provided, match each climber to their highest altitude achieved, the order in which they climbed, and their country of origin. Note that no option in any category will be used more than once.","1. Greta Moore climbed second.  
2. The climber who reached 83 meters climbed three positions before the one who reached 95 meters.  
3. Marco Lee achieved a maximum altitude of 76 meters.  
4. The climber who went fifth reached an altitude that was 4 meters higher than the one who climbed third.",,,"Story:
At the recent International Mountain Climbing Championships held in the Swiss Alps, four climbers reached specific altitudes during their ascents. Using the clues provided, match each climber to their highest altitude achieved, the order in which they climbed, and their country of origin. Note that no option in any category will be used more than once.  

Clues:  
1. Greta Moore climbed second.  
2. The climber who reached 83 meters climbed three positions before the one who reached 95 meters.  
3. Marco Lee achieved a maximum altitude of 76 meters.  
4. The climber who went fifth reached an altitude that was 4 meters higher than the one who climbed third.  

Solve the grid puzzle by filling the table:  
+--------------+----------+----------+  
| Max Altitudes | Climbers   | Orders    |  
+==============+==========+==========+  
| 76 meters     |          |          |  
+--------------+----------+----------+  
| 83 meters     |          |          |  
+--------------+----------+----------+  
| 95 meters     |          |          |  
+--------------+----------+----------+  

Use the clues to fill the table with the following categories:  
Climbers: Marco Lee, Greta Moore, Nina Patel, Ethan Kim  
Orders: first, second, third, fifth"
3x4,Moderate,"A bunch of her friends threw Angie a surprise party this evening.  Using only the clues below, determine what each friend brought, what time they arrived, and what town they came from. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.Wade is either the participant who brought the pork rinds or the participant who arrived at 4:40 pm.
2.The party-goer who arrived at 4:45 pm brought the pizza.
3.Sergio brought the onion dip.
4.Of Wade and Olga, one arrived at 4:30 pm and the other brought the pork rinds.","+---------+-----------+-----------+
| Times   | Friends   | Brought   |
+=========+===========+===========+
| 4:30 pm |           |           |
+---------+-----------+-----------+
| 4:35 pm |           |           |
+---------+-----------+-----------+
| 4:40 pm |           |           |
+---------+-----------+-----------+
| 4:45 pm |           |           |
+---------+-----------+-----------+","Friends: Nelson, Olga, Sergio, Wade
Brought: onion dip, pizza, pork rinds, soda","
Story:
A bunch of her friends threw Angie a surprise party this evening.  Using only the clues below, determine what each friend brought, what time they arrived, and what town they came from. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.Wade is either the participant who brought the pork rinds or the participant who arrived at 4:40 pm.
2.The party-goer who arrived at 4:45 pm brought the pizza.
3.Sergio brought the onion dip.
4.Of Wade and Olga, one arrived at 4:30 pm and the other brought the pork rinds.

Solve the grid puzzle by filling the table:
+---------+-----------+-----------+
| Times   | Friends   | Brought   |
+=========+===========+===========+
| 4:30 pm |           |           |
+---------+-----------+-----------+
| 4:35 pm |           |           |
+---------+-----------+-----------+
| 4:40 pm |           |           |
+---------+-----------+-----------+
| 4:45 pm |           |           |
+---------+-----------+-----------+

Use the clues to fill the table with the following categories:
Friends: Nelson, Olga, Sergio, Wade
Brought: onion dip, pizza, pork rinds, soda"
3x4,Moderate,"A group of classmates organized a surprise celebration for Jordan on Saturday evening. Using only the clues below, determine what each classmate brought, what time they arrived, and which city they traveled from. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.Adam is either the classmate who brought the cookies or the one who arrived at 5:10 pm.
2.The guest who arrived at 5:15 pm brought the brownies.
3.Elaine brought the fruit salad.
4.Of Adam and Claire, one arrived at 5:00 pm and the other brought the cookies.",,,"Story:
A group of classmates organized a surprise celebration for Jordan on Saturday evening. Using only the clues below, determine what each classmate brought, what time they arrived, and which city they traveled from. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.Adam is either the classmate who brought the cookies or the one who arrived at 5:10 pm.
2.The guest who arrived at 5:15 pm brought the brownies.
3.Elaine brought the fruit salad.
4.Of Adam and Claire, one arrived at 5:00 pm and the other brought the cookies.

Solve the grid puzzle by filling the table:
+---------+-----------+-----------+
| Times   | Friends   | Brought   |
+=========+===========+===========+
| 5:00 pm |           |           |
+---------+-----------+-----------+
| 5:10 pm |           |           |
+---------+-----------+-----------+
| 5:15 pm |           |           |
+---------+-----------+-----------+

Use the clues to fill the table with the following categories:
Friends: Adam, Claire, Elaine, Jordan
Brought: cookies, brownies, fruit salad, soda"
3x4,Moderate,"The Women's Boxing Federation has just released its list of top-ranked female boxers for the year.  Using only the clues below, match each boxer to her number of wins and losses and determine the city where she lives and trains. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.Of the fighter with 7 losses and the woman with 33 wins, one is Edna Easton and the other is Irma.
2.Edna Easton has 8 losses.
3.Ollie has 6  fewer wins than the woman with 15 losses.","+--------+----------+----------+
|   Wins | Boxers   | Losses   |
+========+==========+==========+
|     24 |          |          |
+--------+----------+----------+
|     27 |          |          |
+--------+----------+----------+
|     30 |          |          |
+--------+----------+----------+
|     33 |          |          |
+--------+----------+----------+","Boxers: Edna Easton, Irma, Ollie, Tracey
Losses: 7, 8, 12, 15","
Story:
The Women's Boxing Federation has just released its list of top-ranked female boxers for the year.  Using only the clues below, match each boxer to her number of wins and losses and determine the city where she lives and trains. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.Of the fighter with 7 losses and the woman with 33 wins, one is Edna Easton and the other is Irma.
2.Edna Easton has 8 losses.
3.Ollie has 6  fewer wins than the woman with 15 losses.

Solve the grid puzzle by filling the table:
+--------+----------+----------+
|   Wins | Boxers   | Losses   |
+========+==========+==========+
|     24 |          |          |
+--------+----------+----------+
|     27 |          |          |
+--------+----------+----------+
|     30 |          |          |
+--------+----------+----------+
|     33 |          |          |
+--------+----------+----------+

Use the clues to fill the table with the following categories:
Boxers: Edna Easton, Irma, Ollie, Tracey
Losses: 7, 8, 12, 15"
3x4,Moderate,"The National Chess League has just announced its list of top-ranked players for the year. Using only the clues below, match each player to their number of wins and losses and determine the city where they reside and train. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.Of the player with 9 losses and the person with 25 wins, one is Daniel Carter and the other is Lisa.
2.Daniel Carter has 4 losses.
3.Marcus has 5 more wins than the person with 18 losses.",,,"Story:
The National Chess League has just announced its list of top-ranked players for the year. Using only the clues below, match each player to their number of wins and losses and determine the city where they reside and train. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.Of the player with 9 losses and the person with 25 wins, one is Daniel Carter and the other is Lisa.
2.Daniel Carter has 4 losses.
3.Marcus has 5 more wins than the person with 18 losses.

Solve the grid puzzle by filling the table:
+--------+----------+----------+
|   Wins | Players   | Losses   |
+========+==========+==========+
|     16 |          |          |
+--------+----------+----------+
|     20 |          |          |
+--------+----------+----------+
|     23 |          |          |
+--------+----------+----------+
|     25 |          |          |
+--------+----------+----------+

Use the clues to fill the table with the following categories:
Players: Daniel Carter, Lisa, Marcus, Natalie
Losses: 9, 4, 10, 18"
3x4,Moderate,"The cake artists at Baker's Pride have their work cut out for them this week, as a number of different custom cake orders have just come in.  Using only the clues below, match each customer to the shape and flavor of cake they ordered, and determine the price for each. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The $125 cake is shaped like a mountain.
2.Of the cake shaped like a potato and the piece shaped like a golf ball, one is Melba's and the other costs $175.
3.Lori's cake is either the $150 cake or the piece shaped like a beach chair.
4.Christy's piece costs $125.
5.The cake shaped like a potato costs 25 dollars more than the cake shaped like a golf ball.","+----------+-------------+----------+
| Prices   | Customers   | Shapes   |
+==========+=============+==========+
| $125     |             |          |
+----------+-------------+----------+
| $150     |             |          |
+----------+-------------+----------+
| $175     |             |          |
+----------+-------------+----------+
| $200     |             |          |
+----------+-------------+----------+","Customers: Christy, Lori, Melba, Terri
Shapes: beach chair, golf ball, mountain, potato","
Story:
The cake artists at Baker's Pride have their work cut out for them this week, as a number of different custom cake orders have just come in.  Using only the clues below, match each customer to the shape and flavor of cake they ordered, and determine the price for each. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The $125 cake is shaped like a mountain.
2.Of the cake shaped like a potato and the piece shaped like a golf ball, one is Melba's and the other costs $175.
3.Lori's cake is either the $150 cake or the piece shaped like a beach chair.
4.Christy's piece costs $125.
5.The cake shaped like a potato costs 25 dollars more than the cake shaped like a golf ball.

Solve the grid puzzle by filling the table:
+----------+-------------+----------+
| Prices   | Customers   | Shapes   |
+==========+=============+==========+
| $125     |             |          |
+----------+-------------+----------+
| $150     |             |          |
+----------+-------------+----------+
| $175     |             |          |
+----------+-------------+----------+
| $200     |             |          |
+----------+-------------+----------+

Use the clues to fill the table with the following categories:
Customers: Christy, Lori, Melba, Terri
Shapes: beach chair, golf ball, mountain, potato"
3x4,Moderate,"The florists at Bloom & Whimsy have a busy week ahead with several custom flower arrangement orders. Using only the clues below, match each customer to the type of arrangement and its color, and determine the price for each. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The $180 arrangement is shaped like a star.
2.Of the arrangement shaped like a heart and the piece shaped like a circle, one is Emily's and the other costs $220.
3.Adam's arrangement is either the $200 piece or the one colored purple.
4.Nina's piece costs $180.
5.The arrangement shaped like a circle costs 30 dollars more than the arrangement shaped like a square.",,,"Story:
The florists at Bloom & Whimsy have a busy week ahead with several custom flower arrangement orders. Using only the clues below, match each customer to the type of arrangement and its color, and determine the price for each. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once. If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The $180 arrangement is shaped like a star.
2.Of the arrangement shaped like a heart and the piece shaped like a circle, one is Emily's and the other costs $220.
3.Adam's arrangement is either the $200 piece or the one colored purple.
4.Nina's piece costs $180.
5.The arrangement shaped like a circle costs 30 dollars more than the arrangement shaped like a square.

Solve the grid puzzle by filling the table:
+----------+-------------+----------+
| Prices   | Customers   | Shapes   |
+==========+=============+==========+
| $180     |             |          |
+----------+-------------+----------+
| $200     |             |          |
+----------+-------------+----------+
| $220     |             |          |
+----------+-------------+----------+
| $250     |             |          |
+----------+-------------+----------+

Use the clues to fill the table with the following categories:
Customers: Adam, Emily, Nina, Olivia
Shapes: circle, heart, star, square"
3x4,Moderate,"A number of new space probes were launched this year, each from a different country.  Using only the clues that follow, match each probe to the country that launched it, and determine the month it launched and its eventual destination. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.","1.The Iunsel launched in February.
2.The Munei is going to Mars.
3.The Munei launched 1 month after the mission going to Pluto.
4.Of the mission going to Ganymede and the mission going to Pluto, one launched in March and the other is the Chano.","+----------+----------+----------------+
| Months   | Probes   | Destinations   |
+==========+==========+================+
| January  |          |                |
+----------+----------+----------------+
| February |          |                |
+----------+----------+----------------+
| March    |          |                |
+----------+----------+----------------+
| April    |          |                |
+----------+----------+----------------+","Probes: Ateyin, Chano, Iunsel, Munei
Destinations: Ganymede, Mars, Pluto, Uranus","
Story:
A number of new space probes were launched this year, each from a different country.  Using only the clues that follow, match each probe to the country that launched it, and determine the month it launched and its eventual destination. Remember, as with all grid-based logic puzzles, no option in any category will ever be used more than once.  If you get stuck or run into problems, try the ""Clear Errors"" button to remove any mistakes that might be present on the grid, or the ""Hint"" button to see the next logical step in the puzzle.

Clues:
1.The Iunsel launched in February.
2.The Munei is going to Mars.
3.The Munei launched 1 month after the mission going to Pluto.
4.Of the mission going to Ganymede and the mission going to Pluto, one launched in March and the other is the Chano.

Solve the grid puzzle by filling the table:
+----------+----------+----------------+
| Months   | Probes   | Destinations   |
+==========+==========+================+
| January  |          |                |
+----------+----------+----------------+
| February |          |                |
+----------+----------+----------------+
| March    |          |                |
+----------+----------+----------------+
| April    |          |                |
+----------+----------+----------------+

Use the clues to fill the table with the following categories:
Probes: Ateyin, Chano, Iunsel, Munei
Destinations: Ganymede, Mars, Pluto, Uranus"
